"Date","Price","Open","High","Low","Vol.","Change %"
"03/03/2026","6,738.17","6,763.38","6,785.38","6,730.91","","-2.08%"
"03/02/2026","6,881.62","6,824.36","6,901.01","6,796.85","","0.04%"
"02/27/2026","6,878.88","6,856.54","6,882.96","6,831.74","","-0.43%"
"02/26/2026","6,908.86","6,944.74","6,947.25","6,859.73","","-0.54%"
"02/25/2026","6,946.13","6,915.15","6,952.51","6,915.15","","0.81%"
"02/24/2026","6,890.07","6,837.37","6,899.17","6,815.43","","0.77%"
"02/23/2026","6,837.75","6,901.25","6,916.96","6,819.82","","-1.04%"
"02/20/2026","6,909.51","6,843.26","6,915.86","6,836.33","","0.69%"
"02/19/2026","6,861.89","6,861.34","6,879.12","6,833.06","","-0.28%"
"02/18/2026","6,881.31","6,855.48","6,909.12","6,849.66","","0.56%"
"02/17/2026","6,843.22","6,819.86","6,866.99","6,775.50","","0.10%"
"02/13/2026","6,836.17","6,834.27","6,881.96","6,794.55","","0.05%"
"02/12/2026","6,832.76","6,957.54","6,973.22","6,824.04","","-1.57%"
"02/11/2026","6,941.47","6,976.48","6,993.48","6,911.97","","0.00%"
"02/10/2026","6,941.81","6,974.49","6,986.83","6,937.53","","-0.33%"
"02/09/2026","6,964.82","6,917.26","6,980.10","6,905.87","","0.47%"
"02/06/2026","6,932.30","6,816.74","6,944.89","6,816.74","","1.97%"
"02/05/2026","6,798.40","6,837.39","6,857.85","6,780.13","","-1.23%"
"02/04/2026","6,882.72","6,924.50","6,936.09","6,838.80","","-0.51%"
"02/03/2026","6,917.81","6,985.45","6,993.08","6,862.05","","-0.84%"
"02/02/2026","6,976.44","6,916.64","6,991.92","6,914.34","","0.54%"
"01/30/2026","6,939.03","6,947.27","6,964.09","6,893.48","","-0.43%"
"01/29/2026","6,969.01","6,977.74","6,992.84","6,870.80","","-0.13%"
"01/28/2026","6,978.03","7,002.00","7,002.28","6,963.46","","-0.01%"
"01/27/2026","6,978.60","6,965.96","6,988.82","6,958.83","","0.41%"
"01/26/2026","6,950.23","6,923.23","6,964.66","6,921.60","","0.50%"
"01/23/2026","6,915.61","6,907.85","6,932.96","6,895.50","","0.03%"
"01/22/2026","6,913.35","6,914.44","6,934.75","6,893.62","","0.55%"
"01/21/2026","6,875.62","6,810.71","6,910.39","6,804.96","","1.16%"
"01/20/2026","6,796.86","6,865.24","6,871.17","6,789.05","","-2.06%"
"01/16/2026","6,940.01","6,960.54","6,967.30","6,925.09","","-0.06%"
"01/15/2026","6,944.47","6,969.46","6,979.34","6,937.93","","0.26%"
"01/14/2026","6,926.60","6,937.41","6,941.30","6,885.74","","-0.53%"
"01/13/2026","6,963.74","6,977.41","6,985.83","6,938.77","","-0.19%"
"01/12/2026","6,977.27","6,944.12","6,986.33","6,934.07","","0.16%"
"01/09/2026","6,966.28","6,927.83","6,978.36","6,917.64","","0.65%"
"01/08/2026","6,921.46","6,914.11","6,931.28","6,899.33","","0.01%"
"01/07/2026","6,920.93","6,945.07","6,965.69","6,919.19","","-0.34%"
"01/06/2026","6,944.82","6,908.03","6,948.69","6,904.02","","0.62%"
"01/05/2026","6,902.05","6,892.19","6,920.38","6,891.56","","0.64%"
"01/02/2026","6,858.47","6,878.11","6,894.87","6,824.31","","0.19%"
"12/31/2025","6,845.50","6,898.82","6,901.42","6,844.55","","-0.74%"
"12/30/2025","6,896.24","6,900.44","6,913.25","6,893.47","","-0.14%"
"12/29/2025","6,905.74","6,903.60","6,920.21","6,888.76","","-0.35%"
"12/26/2025","6,929.94","6,936.02","6,945.77","6,921.60","","-0.03%"
"12/24/2025","6,932.05","6,904.91","6,937.32","6,904.91","","0.32%"
"12/23/2025","6,909.79","6,872.41","6,910.88","6,868.81","","0.46%"
"12/22/2025","6,878.49","6,865.21","6,882.03","6,855.74","","0.64%"
"12/19/2025","6,834.50","6,792.62","6,840.02","6,792.62","","0.88%"
"12/18/2025","6,774.76","6,778.06","6,816.13","6,758.50","","0.79%"
"12/17/2025","6,721.43","6,802.88","6,812.26","6,720.43","","-1.16%"
"12/16/2025","6,800.26","6,800.12","6,819.27","6,759.74","","-0.24%"
"12/15/2025","6,816.51","6,860.19","6,861.59","6,801.49","","-0.16%"
"12/12/2025","6,827.41","6,886.85","6,899.85","6,801.79","","-1.07%"
"12/11/2025","6,901.00","6,861.30","6,903.46","6,833.45","","0.21%"
"12/10/2025","6,886.68","6,833.49","6,900.67","6,824.69","","0.67%"
"12/09/2025","6,840.51","6,840.61","6,864.92","6,837.43","","-0.09%"
"12/08/2025","6,846.51","6,875.20","6,878.27","6,827.19","","-0.35%"
"12/05/2025","6,870.40","6,866.32","6,895.78","6,858.29","","0.19%"
"12/04/2025","6,857.12","6,866.47","6,866.47","6,827.12","","0.11%"
"12/03/2025","6,849.72","6,815.29","6,862.42","6,810.43","","0.30%"
"12/02/2025","6,829.37","6,830.96","6,851.55","6,806.71","","0.25%"
"12/01/2025","6,812.63","6,812.30","6,843.65","6,799.94","","-0.53%"
"11/28/2025","6,849.09","6,822.52","6,850.86","6,819.75","","0.54%"
"11/26/2025","6,812.61","6,793.55","6,831.44","6,783.87","","0.69%"
"11/25/2025","6,765.88","6,697.03","6,776.40","6,659.98","","0.91%"
"11/24/2025","6,705.12","6,636.54","6,715.75","6,630.70","","1.55%"
"11/21/2025","6,602.99","6,555.77","6,660.05","6,521.92","","0.98%"
"11/20/2025","6,538.76","6,737.93","6,770.35","6,534.05","","-1.56%"
"11/19/2025","6,642.16","6,625.84","6,689.75","6,603.50","","0.38%"
"11/18/2025","6,617.32","6,641.19","6,666.63","6,574.32","","-0.83%"
